City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Sabang,ID,82.47,few clouds,5.8933,95.3214,Hotel Citra
7,Sorong,ID,79.77,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
10,Brokopondo,SR,79.86,broken clouds,4.75,-55.1667,Matu Island
13,Atuona,PF,77.67,light rain,-9.8,-139.0333,Villa Enata
20,East London,ZA,77.43,clear sky,-33.0153,27.9116,Tu Casa
26,Puerto Ayora,EC,87.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
28,Cidreira,BR,78.76,clear sky,-30.1811,-50.2056,Hotel Castelo
32,Hilo,US,77.11,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
35,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
37,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
39,Arraial Do Cabo,BR,80.46,mist,-22.9661,-42.0278,Pousada Porto Praia
40,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
44,Sonoita,MX,78.53,clear sky,31.85,-112.8333,Santa Ana
47,Sao Joao Da Barra,BR,78.89,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
52,Itarema,BR,84.02,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
59,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
60,Davila,PH,76.89,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
63,Kapaa,US,76.19,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
64,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
65,Port Alfred,ZA,75.87,clear sky,-33.5906,26.891,The Halyards Hotel
66,Kavaratti,IN,80.64,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
67,Bambous Virieux,MU,78.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
68,Alta Floresta,BR,80.42,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
69,Castro,BR,80.06,few clouds,-24.7911,-50.0119,CHACARA BAILLY
70,Padang,ID,76.86,overcast clouds,-0.9492,100.3543,Mercure Padang
72,Rikitea,PF,79.02,light rain,-23.1203,-134.9692,People ThankYou
76,Faanui,PF,80.69,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
77,San Matias,BO,89.06,moderate rain,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
79,Katherine,AU,77.32,clear sky,-14.4667,132.2667,Pine Tree Motel
82,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
86,General Roca,AR,86.4,few clouds,-39.0333,-67.5833,Hotel El Recreo
87,Vanimo,PG,77.18,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
89,Kahului,US,76.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
90,Saint-Philippe,RE,78.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
95,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
99,Butaritari,KI,82.74,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
101,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
114,Paragominas,BR,85.8,few clouds,-2.9667,-47.4833,INOVA
115,Purranque,CL,79.93,overcast clouds,-40.9167,-73.1667,HOSPADAJE ERICA
123,Novo Oriente,BR,85.66,overcast clouds,-5.5344,-40.7742,Golden Palace Hotel
143,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
144,Luwuk,ID,76.17,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
145,Bonthe,SL,79.95,few clouds,7.5264,-12.505,Bonthe Holiday Village
