City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiksi,RU,71.6872,128.8694,-8.57,90,88,16.67,overcast clouds
1,Kodinsk,RU,58.6881,99.1844,-20.54,100,20,1.81,few clouds
2,Longyearbyen,SJ,78.2186,15.6401,8.44,78,0,12.66,clear sky
3,Iisalmi,FI,63.5592,27.1907,23.02,99,100,2.82,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,9.22,few clouds
5,Chuy,UY,-33.6971,-53.4616,72.25,87,100,9.19,overcast clouds
6,Sabang,ID,5.8933,95.3214,82.47,72,19,16.82,few clouds
7,Sorong,ID,-0.8833,131.25,79.77,81,100,7.27,overcast clouds
8,Lingao,CN,19.9103,109.6859,67.01,84,75,11.92,broken clouds
9,San Patricio,US,28.017,-97.5169,69.75,70,100,24.61,overcast clouds
10,Brokopondo,SR,4.75,-55.1667,79.86,83,80,9.06,broken clouds
11,Hermanus,ZA,-34.4187,19.2345,68.81,86,100,8.14,overcast clouds
12,Erode,IN,11.35,77.7333,73.33,71,9,3.36,clear sky
13,Atuona,PF,-9.8,-139.0333,77.67,77,6,13.58,light rain
14,Torbay,CA,47.6666,-52.7314,45.75,80,100,16.11,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,47.86,53,40,37.98,scattered clouds
16,Nur,PL,52.6683,22.3221,30.78,68,66,7.78,broken clouds
17,Kruisfontein,ZA,-34.0033,24.7314,71.38,94,87,5.17,overcast clouds
18,Tumut,AU,-35.3,148.2167,55.85,86,0,3.49,clear sky
19,Irkutsk,RU,52.2978,104.2964,-19.43,69,0,4.47,clear sky
20,East London,ZA,-33.0153,27.9116,77.43,86,0,12.86,clear sky
21,Pevek,RU,69.7008,170.3133,-23.31,98,100,9.42,overcast clouds
22,Ponta Do Sol,PT,32.6667,-17.1,63.23,52,34,4.23,scattered clouds
23,Kabompo,ZM,-13.5927,24.2008,65.32,96,100,4.41,light rain
24,Galesong,ID,-5.3166,119.3661,73.42,91,100,8.14,overcast clouds
